[01. 下列关于树的说法中，正确的是()。<br>I.对于有n个结点的二叉树，其高度为<anki-mathjax>\log_{2}n</anki-mathjax><br>II.完全二叉树中，若一个结点没有左孩子，则它必是叶结点<br>III.高度为h(h>0)的完全二叉树对应的森林所含的树的个数一定是h<br>IV.一棵树中的叶子数一定等于与其对应的二叉树的叶子数<br>A.I和III<br>B.Ⅳ<br>C.I和Ⅱ<br>D.Ⅱ]::(D)	1. 对于I：当二叉树是单支树时高度为n，错误<br>2. 对于II：没有左孩子则必然没有右孩子，正确<br>3. 对于III：非满二叉树时树个数≠h，错误<br>4. 对于IV：多个叶子有共同双亲时转换后仅最右叶保留，错误	未标注
[02. 利用二叉链表存储森林时，根结点的右指针是()。<br>A.指向最左兄弟<br>B.指向最右兄弟<br>C.一定为空<br>D.不一定为空]::(D)	• 当森林仅一棵树时右指针为空<br>• 当森林有多棵树时右指针指向第二棵树的根	未标注
[03. 设森林F中有3棵树，第1、2、3棵树的结点个数分别为<anki-mathjax>M_{1},M_{2}</anki-mathjax>和<anki-mathjax>M_{3}</anki-mathjax>，与森林F对应的二叉树根结点的右子树上的结点个数是()。<br>A.<anki-mathjax>M_{1}</anki-mathjax><br>B.<anki-mathjax>M_{1}+M_{2}</anki-mathjax><br>C.<anki-mathjax>M_{3}</anki-mathjax><br>D.<anki-mathjax>M_{2}+M_{3}</anki-mathjax>]::(D)	二叉树右子树包含<strong>第2、3棵树全部结点</strong>，结点数=<anki-mathjax>M_2+M_3</anki-mathjax>	未标注
[04. 设森林F中有4棵树，第1、2、3、4棵树的结点数分别为a、b、c和d，与森林F对应的二叉树的根结点的左子树上的结点数是()。<br>A.a<br>B.<anki-mathjax>b+c+d</anki-mathjax><br>C.<anki-mathjax>a-1</anki-mathjax><br>D.<anki-mathjax>a+b+c</anki-mathjax>]::(C)	• 左子树对应<strong>第一棵树除根外的子树</strong><br>• 结点数= a - 1	未标注
[05. 设森林F对应的二叉树为B，它有m个结点，B的根为p，p的右子树结点数为n，森林F中第一棵树的结点数是()。<br>A.<anki-mathjax>m-n</anki-mathjax><br>B.<anki-mathjax>m-n-1</anki-mathjax><br>C.<anki-mathjax>n+1</anki-mathjax><br>D.条件不足，无法确定]::(A)	第一棵树结点数= (根结点p) + (左子树结点) = 1 + (m-n-1) = <anki-mathjax>m-n</anki-mathjax>	未标注
[06. 设森林F对应的二叉树是一棵具有16个结点的完全二叉树，则森林F中树的数目和结点最多的树的结点数分别是()。<br>A. 2和8<br>B. 2和9<br>C. 4和8<br>D. 4和9]::(D)	• 沿根结点右链有4个结点 → 共4棵树<br>• 第一棵树包含：根结点+左子树(15个结点)，其中有效结构为<strong>9结点</strong>的树	未标注
[07. 森林<anki-mathjax>T=(T_{1},T_{2},\cdots, T_{m})</anki-mathjax>转化为二叉树BT的过程为:若<anki-mathjax>m=0</anki-mathjax>,则BT为空,若<anki-mathjax>m\neq 0</anki-mathjax>,则()。<br>A.将中间子树<anki-mathjax>T_{mid}</anki-mathjax>(mid=(1+m)/2)的根作为BT的根;将<anki-mathjax>(T_{1},T_{2},\cdots, T_{mid-1})</anki-mathjax>转换为BT的左子树;将<anki-mathjax>(T_{mid+1},\cdots, T_{m})</anki-mathjax>转换为BT的右子树<br>B.将子树<anki-mathjax>T_{1}</anki-mathjax>的根作为BT的根;将<anki-mathjax>T_{1}</anki-mathjax>的子树森林转换成BT的左子树;将<anki-mathjax>(T_{2},T_{3},\cdots, T_{m})</anki-mathjax>转换成BT的右子树<br>C.将子树<anki-mathjax>T_{1}</anki-mathjax>的根作为BT的根;将<anki-mathjax>T_{1}</anki-mathjax>的左子树森林转换成BT的左子树;将<anki-mathjax>T_{1}</anki-mathjax>的右子树森林转换为BT的右子树;其他以此类推<br>D.将森林<anki-mathjax>T</anki-mathjax>的根作为BT的根;将<anki-mathjax>(T_{1},T_{2},\cdots, T_{m})</anki-mathjax>转化为该根下的结点，得到一棵树，然后将这棵树再转化为二叉树BT]::(B)	标准转换规则：<br>1. <strong>T₁的根作为BT的根</strong><br>2. T₁的子树森林转左子树<br>3. 剩余森林转右子树	185
[08. 设<anki-mathjax>F</anki-mathjax>是一个森林，B是由<anki-mathjax>F</anki-mathjax>变换来的二叉树。若<anki-mathjax>F</anki-mathjax>中有n个非终端结点，则B中右指针域为空的结点有()个。<br>A. <anki-mathjax>n-1</anki-mathjax><br>B. <anki-mathjax>n</anki-mathjax><br>C. <anki-mathjax>n+1</anki-mathjax><br>D. <anki-mathjax>n+2</anki-mathjax>]::(C)	包含：<br>• 所有分支结点的<strong>最后一个孩子</strong>(n个)<br>• 森林最后一棵树的<strong>根结点</strong>(1个)	185
[09. 设某树的孩子兄弟链表示中共有6个空的左指针域、7个空的右指针域，包括5个结点的左、右指针域都为空，则该树中叶结点的个数是()。<br>A. 7<br>B. 6<br>C. 5<br>D. 不能确定]::(B)	• 左指针为空 → 无孩子 → <strong>叶结点</strong><br>• 共6个空左指针域 → 6个叶结点	185
[10. 若<anki-mathjax>T_{1}</anki-mathjax>是由有序树T转换而来的二叉树，则T中结点的后根序列就是<anki-mathjax>T_{1}</anki-mathjax>中结点的()序列。<br>A. 先序<br>B. 中序<br>C. 后序<br>D. 层序]::(B)	树的后根遍历 ≡ 二叉树<strong>中序遍历</strong><br>典型特性：访问完所有孩子后才访问双亲	185
