[01. 关于线性表的顺序存储结构和链式存储结构的描述中，正确的是( )。<br>I.线性表的顺序存储结构优于其链式存储结构<br>II.链式存储结构比顺序存储结构能更方便地表示各种逻辑结构<br>III.若需频繁使用插入和删除结点操作，则顺序存储结构更优于链式存储结构<br>IV.顺序存储结构和链式存储结构都可以进行顺序存取<br>A. I,II,III<br>B. II,IV<br>C. II,III<br>D. III,IV]::(B)	两种存储结构适用于不同场合，不能简单说孰优孰劣（Ⅰ错）<br>链式存储用<strong>指针</strong>表示逻辑结构，比顺序存储更方便表示各种逻辑结构（Ⅱ对）<br>顺序存储在插入删除时需移动大量元素，效率较低（Ⅲ错）<br>顺序存储可<strong>随机存取</strong>和顺序存取，链式仅能顺序存取（Ⅳ对）	39
[02. 对于一个线性表，既要求能够进行较快的插入和删除，又要求存储结构能够反映数据之间的逻辑关系，则应该用( )。<br>A. 顺序存储方式<br>B. 链式存储方式<br>C. 散列存储方式<br>D. 以上均可以]::(B)	链式存储反映<strong>数据逻辑关系</strong>，插入删除时间复杂度<anki-mathjax>O(1)</anki-mathjax><br>散列存储无法反映逻辑关系<br>顺序存储插入删除效率低	39
[03. 链式存储设计时，结点内的存储单元地址( )。<br>A. 一定连续<br>B. 一定不连续<br>C. 不一定连续<br>D. 部分连续，部分不连续]::(A)	结点内存储单元地址<strong>必须连续</strong><br>不同结点存储空间可不连续	39
[04. 下列关于线性表说法中，正确的是( )。<br>I.顺序存储方式只能用于存储线性结构<br>II.在一个设有头指针和尾指针的单链表中，删除表尾元素的时间复杂度与表长无关<br>III.带头结点的单循环链表中不存在空指针<br>IV.在一个长度为n的有序单链表中插入一个新结点并仍保持有序的时间复杂度为<anki-mathjax>O(n)</anki-mathjax><br>V. 若用单链表来表示队列，则应该选用带尾指针的循环链表<br>A. I,II<br>B. I,III,IV,V<br>C. IV,V<br>D. III,IV,V]::(D)	顺序存储也可存<strong>树/图</strong>（I错）<br>删除表尾元素需遍历找前驱，时间复杂度<anki-mathjax>O(n)</anki-mathjax>（II错）<br>带头结点单循环链表无<strong>空指针</strong>（III对）<br>有序单链表插入需顺序查找位置（IV对）<br>带尾指针的循环链表方便队列操作（V对）	39
[05. 设线性表中有2n个元素，( )在单链表上实现要比在顺序表上实现效率更高。<br>A. 删除所有值为x的元素<br>B. 在最后一个元素的后面插入一个新元素<br>C. 顺序输出前k个元素<br>D. 交换第i个元素和第2n - i + 1个元素的值]::(A)	单链表删除值x元素时<strong>不需移动元素</strong>，顺序表需移动大量元素<br>BC操作在顺序表更高效，D操作效率相同	39
[06. 在一个单链表中，已知q所指结点是p所指结点的前驱结点，若在q和p之间插入结点s，则执行( )。<br>A. s->next=p->next;p->next=s;<br>B. p->next=s->next;s->next=p;<br>C. q->next=s;s->next=p;<br>D. p->next=s;s->next=q;]::(C)	修改q的next指向s<br>s的next指向p<br>实现<strong>q→s→p</strong>的链接	41
[07. 给定有n个元素的一维数组，建立一个有序单链表的最低时间复杂度是( )。<br>A. <anki-mathjax>O(1)</anki-mathjax><br>B. <anki-mathjax>O(n)</anki-mathjax><br>C. <anki-mathjax>O(n^{2})</anki-mathjax><br>D. <anki-mathjax>O(n\log n)</anki-mathjax>]::(D)	先对数组<strong>排序</strong>（最好<anki-mathjax>O(n\log n)</anki-mathjax>）<br>再建立链表（<anki-mathjax>O(n)</anki-mathjax>）<br>总时间<anki-mathjax>O(n\log n)</anki-mathjax>	41
[08. 将长度为n的单链表链接在长度为m的单链表后面，其算法的时间复杂度采用大O形式表示应该是( )。<br>A. <anki-mathjax>O(1)</anki-mathjax><br>B. <anki-mathjax>O(n)</anki-mathjax><br>C. <anki-mathjax>O(m)</anki-mathjax><br>D. <anki-mathjax>O(m+n)</anki-mathjax>]::(C)	需遍历找到<strong>第一个链表尾结点</strong>（长度m）	41
[09. 单链表中，增加一个头结点的目的是( )。<br>A. 使单链表至少有一个结点<br>B. 标识表结点中首结点的位置<br>C. 方便运算的实现<br>D. 说明单链表是线性表的链式存储]::(C)	使<strong>空表/非空表处理统一</strong><br>简化插入删除操作（无需特殊处理首结点）	41
[10. 在一个长度为n的带头结点的单链表h上，设有尾指针r，则执行( )操作与链表的表长有关。<br>A. 删除单链表中的第一个元素<br>B. 删除单链表中的最后一个元素<br>C. 在单链表第一个元素前插入一个新元素<br>D. 在单链表最后一个元素后插入一个新元素]::(B)	删除最后一个元素需找到其前驱<strong>（遍历长度n-1）</strong>	41
[11. 对于一个头指针为head的带头结点的单链表，判定该表为空表的条件是( )；对于不带头结点的单链表，判定空表的条件为( )。<br>A. head==NULL<br>B. head->next==NULL<br>C. head->next==head<br>D. head!=NULL]::(B（带头）<br>A（不带头）)	<strong>带头链表：</strong>head->next==NULL<br><strong>不带头链表：</strong>head==NULL	41
[12. 在线性表<anki-mathjax>a_{0},a_{1},\cdots ,a_{100}</anki-mathjax>中，删除元素<anki-mathjax>a_{50}</anki-mathjax>需要移动( )个元素。<br>A. 0<br>B. 50<br>C. 51<br>D. 0或50]::(D)	<strong>链式存储</strong>不需移动<br><strong>顺序存储</strong>需移动后50个元素	41
[13. 通过含有n(n>1)个元素的数组a，采用头插法建立单链表L，则L中的元素次序( )。<br>A. 与数组a的元素次序相同<br>B. 与数组a的元素次序相反<br>C. 与数组a的元素次序无关<br>D. 以上都错误]::(B)	头插法导致<strong>逆序存储</strong>	41
[14. 下面关于线性表的一些说法中，正确的是( )。<br>A. 对一个设有头指针和尾指针的单链表执行删除最后一个元素的操作与链表长度无关<br>B. 线性表中每个元素都有一个直接前驱和一个直接后继<br>C. 为了方便插入和删除数据，可以使用双链表存放数据<br>D. 取线性表第i个元素的时间与i的大小有关]::(C)	双链表访问前驱/后继更方便<br>A需遍历找前驱（与长度相关）<br>B首尾元素不满足<br>D顺序存储取元素时间<anki-mathjax>O(1)</anki-mathjax>	41
[15. 在双链表中向p所指的结点之前插入一个结点q的操作为( )。<br>A. p->prior=q;q->next=p;p->prior->next=q;q->prior=p->prior;<br>B. q->prior=p->prior;p->prior->next=q;q->next=p;p->prior=q;<br>C. q->next=p;q->prior=p->prior;p->prior->next=q;p->prior=q;<br>D. p->prior->next=q;q->next=p;q->prior=p->prior;]::(B)	关键步骤：<br>1. q->prior指向p->prior<br>2. q->next指向p<br>3. p->prior->next指向q<br>4. p->prior指向q	41
[16. 在双向链表存储结构中，删除p所指的结点时必须修改指针( )。<br>A. p->prior->next=p->next;p->next->prior=p->prior;<br>B. p->next=p->prior->prior;p->prior=p;<br>C. p->prior->next=p;p->next->prior=p;<br>D. p->next=p->next->next;p->prior=p->prior->prior;]::(A)	修改前驱结点的next指向p->next<br>修改后继结点的prior指向p->prior	41
