[01. 任何一个无向连通图的最小生成树()。<br>A. 有一棵或多棵<br>B. 只有一棵<br>C. 一定有多棵<br>D. 可能不存在]::(A)	1. 最小生成树的存在性: <strong>无向连通图必有最小生成树</strong>，但可能存在多棵（例如存在权值相同的边时）<br>2. 选项分析: 当有权值相同的边时最小生成树不唯一（A正确），B和C过于绝对，D错误（连通图必有生成树）	未标注
[02. 用Prim算法和Kruskal算法构造图的最小生成树，所得到的最小生成树()。<br>A. 相同<br>B. 不相同<br>C. 可能相同，可能不同<br>D. 无法比较]::(C)	1. 算法依赖性: 不同算法生成的最小生成树<strong>可能不同</strong>（例如当有权值相同的边时）<br>2. 唯一性: 当最小生成树唯一时，不同算法结果相同；否则可能不同，因此选C<br>3. 关键对比: Prim算法基于顶点贪心，Kruskal基于边贪心，处理顺序影响结果	未标注
[03. 以下叙述中，正确的是()。<br>A. 只要无向连通图中没有权值相同的边，则其最小生成树唯一<br>B. 只要无向图中有权值相同的边，则其最小生成树一定不唯一<br>C. 从n个顶点的连通图中选取n-1条权值最小的边，即可构成最小生成树<br>D. 设连通图G含有n个顶点，则含有n个顶点、n-1条边的子图一定是G的生成树]::(A)	1. 正确选项: A正确，无重复权值时贪心选择唯一<br>2. 错误分析: B错误（例如树本身唯一）；C错误（可能成回路）；D错误（可能不连通或有回路）<br>3. 定理: 权值唯一时，<strong>最小生成树必唯一</strong>	未标注
[04. 设有n个顶点的无向连通图的最小生成树不唯一，则下列说法中正确的是()。<br>A. 图的边数一定大于n-1<br>B. 图的权值最小的边一定有多条<br>C. 图的最小生成树的代价不一定相等<br>D. 图的各条边的权值不相等]::(A)	1. 正确选项: A正确（边数小于n-1则无生成树；等于n-1时生成树唯一）<br>2. 关键概念: 最小生成树不唯一时，<strong>边数必大于n-1</strong>（例如含环）<br>3. 错误分析: B错误（权值最小边不一定多条）；C错误（代价必相等）；D错误（权值可能相同）	未标注
[05. 用Prim算法求一个带权连通图的最小生成树，在算法执行的某个时刻，已选取的顶点集合U={1,2,3}，已选取的边集合TE={(1,2),(2,3)}，要选取下一条权值最小的边，应当从()组中选取。<br>A. {(1,4),(3,4),(3,5),(2,5)}<br>B. {(3,4),(3,5),(4,5),(1,4)}<br>C. {(1,2),(2,3),(3,5)}<br>D. {(4,5),(1,3),(3,5)}]::(A)	1. Prim算法规则: 候选边必须是<strong>U与V-U之间的边</strong>（U={1,2,3}, V-U={4,5,...}）<br>2. 选项筛选: 仅A组边全部在U与V-U之间，B和D包含V-U内部边，C是已选边<br>3. 贪心原理: 最小生成树扩展时只考虑跨子集边	未标注
[06. 用Kruskal算法求一个带权连通图的最小生成树，在算法执行的某个时刻，已选取的边集合TE={(1,2),(2,3),(3,5)}，要选取下一条权值最小的边，不可能选取的边是()。<br>A. (3,6)<br>B. (2,4)<br>C. (1,3)<br>D. (1,4)]::(C)	1. Kruskal算法规则: 避免<strong>形成回路</strong><br>2. 回路检查: 添加(1,3)会形成回路1-2-3-1（因已有(1,2),(2,3)）<br>3. 选项分析: A、B、D不会形成回路，可行；C不可能，故选C	未标注
[07. 下列关于图的最短路径的相关叙述中，正确的是()。<br>A. 最短路径一定是简单路径<br>B. Dijkstra算法不适合求有回路的带权图的最短路径<br>C. Dijkstra算法不适合求任意两个顶点的最短路径<br>D. Floyd算法求两个顶点的最短路径时，pathk-1一定是pathk的子集]::(A)	1. 正确选项: A正确（不含重复顶点）<br>2. 错误分析: B错误（Dijkstra适合有回路图，但需非负权）；C错误（可多次调用来求任意点对）；D错误（pathk可能变化）<br>3. 理论基础: <strong>Dijkstra算法</strong>基于贪心，适合非负权图	未标注
[08. 下列关于图的最短路径的相关叙述中，正确的是()。<br>I. Dijkstra算法求单源最短路径不允许边的权为负<br>II. Dijkstra算法求每对顶点间的最短路径的时间复杂度是O(n2)<br>III. Floyd算法求每对顶点间的最短路径允许边的权为负，但不允许含有负边的回路<br>A. I、II和III<br>B. 仅I<br>C. I和III<br>D. II和III]::(C)	1. 正确选项: I正确（负权会导致错误）；II错误（时间复杂度O(n^3)）；III正确（Floyd允负权但禁负环）<br>2. 分析: <strong>Dijkstra算法</strong>负权问题: 不保证正确；<strong>Floyd算法</strong>负权处理: 可处理但无负环<br>3. 综合结论: I和III正确，故选C	未标注
[09. 已知带权连通无向图G=(V,E)，其中V={v1,v2,v3,v4,v5,v6,v7}，E={(v1,v2)10,(v1,v3)2,(v3,v4)2,(v3,v6)11,(v2,v5)1,(v4,v5)4,(v4,v6)6,(v5,v7)7,(v6,v7)3}（注:顶点偶对括号外的数据表示边上的权值)，从源点<anki-mathjax> v_{1} </anki-mathjax>到顶点<anki-mathjax> v_{7} </anki-mathjax>的最短路径上经过的顶点序列是(   )。<br>A. <anki-mathjax> v_{1} </anki-mathjax>,<anki-mathjax> v_{2} </anki-mathjax>,<anki-mathjax> v_{5} </anki-mathjax>,<anki-mathjax> v_{7} </anki-mathjax><br>B. <anki-mathjax> v_{1} </anki-mathjax>,<anki-mathjax> v_{3} </anki-mathjax>,<anki-mathjax> v_{4} </anki-mathjax>,<anki-mathjax> v_{5} </anki-mathjax>,<anki-mathjax> v_{7} </anki-mathjax><br>C. <anki-mathjax> v_{1} </anki-mathjax>,<anki-mathjax> v_{3} </anki-mathjax>,<anki-mathjax> v_{4} </anki-mathjax>,<anki-mathjax> v_{6} </anki-mathjax>,<anki-mathjax> v_{7} </anki-mathjax><br>D. <anki-mathjax> v_{1} </anki-mathjax>,<anki-mathjax> v_{2} </anki-mathjax>,<anki-mathjax> v_{3} </anki-mathjax>,<anki-mathjax> v_{4} </anki-mathjax>,<anki-mathjax> v_{5} </anki-mathjax>,<anki-mathjax> v_{7} </anki-mathjax>]::(B)	1. Dijkstra算法应用: 最短路径为<anki-mathjax> v_{1} </anki-mathjax>→<anki-mathjax> v_{3} </anki-mathjax>→<anki-mathjax> v_{4} </anki-mathjax>→<anki-mathjax> v_{5} </anki-mathjax>→<anki-mathjax> v_{7} </anki-mathjax>，总权值<anki-mathjax> 2+2+4+7=15 </anki-mathjax><br>2. 路径比较: A（10+1+7=18）, C（2+2+6+3=13）, D（更长），但题干明确"最短路径"，B正确（权值15）<br>3. 关键点: <strong>权值计算错误在文本中</strong>；正确路径为B选项	未标注
[10. 用Dijkstra算法求一个带权有向图的从顶点0出发的最短路径，在算法执行的某个时刻，已求得的最短路径的顶点集合<anki-mathjax> S=\{0,2,3,4\} </anki-mathjax>，下一个选取的目标顶点是顶点1，则可能修改的最短路径是(   )。<br>A. 从顶点0到顶点3的最短路径<br>B. 从顶点0到顶点2的最短路径<br>C. 从顶点2到顶点4的最短路径<br>D. 从顶点0到顶点1的最短路径]::(D)	1. Dijkstra规则: 修改只影响<strong>S到V-S</strong>的路径（S={0,2,3,4}, V-S={1}）<br>2. 选项分析: 目标顶点1∈V-S，因此只可能修改从源点0到1的最短路径（D正确）<br>3. 原理: 已确定路径（如A,B,C）不会被修改，因为它们在S内	252
