[01.对于二叉排序树，下面的说法中，（  ）是正确的。<br>A.二叉排序树是动态树表，查找失败时插入新结点，会引起树的重新分裂和组合<br>B.对二叉排序树进行层序遍历可得到有序序列<br>C.用逐点插入法构造二叉排序树，若先后插入的关键字有序，二叉排序树的深度最大<br>D.在二叉排序树中进行查找，关键字的比较次数不超过结点数的1/2]::(C)	1. 当插入的关键字有序时，二叉排序树会形成长链结构，深度最大<br>2. 此种情况下查找可能需要比较所有结点，比较次数可能超过结点数1/2<br>3. 层序遍历无法得到有序序列，中序遍历才能获得	283
[02.按（  ）遍历二叉排序树得到的序列是一个有序序列。<br>A.先序<br>B.中序<br>C.后序<br>D.层次]::(B)	二叉排序树的中序遍历序列是严格递增的有序序列	283
[03.在二叉排序树中进行查找的效率与（  ）有关。<br>A.二叉排序树的深度<br>B.二叉排序树的结点的个数<br>C.被查找结点的度<br>D.二叉排序树的存储结构]::(A)	查找效率主要取决于树的高度（深度），深度越小查找越快	283
[04.在常用的描述二叉排序树的存储结构中，关键字值最大的结点（  ）。<br>A.左指针一定为空<br>B.右指针一定为空<br>C.左右指针均为空<br>D.左右指针均不为空]::(B)	最大值结点位于最右位置，其右指针必为空（左指针可能非空）	283
[05.设二叉排序树中关键字由1到1000的整数构成，现要查找关键字为363的结点，下述关键字序列中，不可能是在二叉排序树上查找的序列是（  ）。<br>A.2,252,401,398,330,344,397,363<br>B.924,220,911,244,898,258,362,363<br>C.925,202,911,240,912,245,363<br>D.2,399,387,219,266,382,381,278,363]::(C)	在911结点左子树出现912>911，违反二叉排序树左<根<右性质	283
[06.分别以下列序列构造二叉排序树，与用其他3个序列所构造的结果不同的是（  ）。<br>A.(100,80,90,60,120,110,130)<br>B.(100,120,110,130,80,60,90)<br>C.(100,60,80,90,120,110,130)<br>D.(100,80,60,90,120,130,110]::(C)	A/B/D构造结果相同（以100为根，左子树<100，右子树>100）<br>C序列构造结果不同（60为根左子树）	283
[07.从空树开始，依次插入元素52,26,14,32,71,60,93,58,24和41后构成了一棵二叉排序树。在该树查找60要进行比较的次数为（  ）。<br>A.3<br>B.4<br>C.5<br>D.6]::(A)	比较路径：52→71→60（共3次比较）	283
[08.在含有n个结点的二叉排序树中查找某个关键字的结点时，最多进行（  ）次比较。<br>A.n/2<br>B.log₂n<br>C.log₂n+1<br>D.n]::(D)	当树退化为单链时（如有序插入），最多需比较所有n个结点	283
[09.五个不同结点构造的二叉查找树的形态共有（  ）种。<br>A.20<br>B.30<br>C.32<br>D.42]::(D)	不同形态数=Catalan(5)=42种（与中序序列和先序序列相关）	283
[10.构造一棵具有n个结点的二叉排序树时，最理想情况下的深度为（  ）。<br>A.n/2<br>B.n<br>C.log₂(n+1)<br>D.⌈log₂(n+1)⌉]::(D)	理想情况为满二叉树形态，深度=⌈log₂(n+1)⌉	283
[11.含有20个结点的平衡二叉树的最大深度为（  ）。<br>A.4<br>B.5<br>C.6<br>D.7]::(C)	平衡二叉树最少结点公式：n₆=20（满足nₕ=1+nₕ₋₁+nₕ₋₂）	283
[12.具有5层结点的平衡二叉树至少有（  ）个结点。<br>A.10<br>B.12<br>C.15<br>D.17]::(B)	最少结点数n₅=12（递推公式：n₁=1, n₂=2, nₕ=1+nₕ₋₁+nₕ₋₂）	283
[13.高度为3的平衡二叉排序树的形态共有（  ）种。<br>A.13<br>B.14<br>C.16<br>D.15]::(D)	子情况：①左右子树高度2（3×3=9种）②左高1右高2（3种）③左高2右高1（3种）	283
[14.在平衡二叉树的基本操作中，可能发生两次旋转的操作是（  ）。<br>A.添加、删除结点<br>B.仅删除结点<br>C.仅添加结点<br>D.都不会]::(A)	添加/删除均可能触发LR/RL旋转（需两次旋转）	283
[15.将关键字1,2,3,…,1024依次插入到初始为空的平衡二叉树中，假设只有一个根结点的二叉树的高度为0，则插入结束后的平衡二叉树的高度是（  ）。<br>A.8<br>B.9<br>C.10<br>D.11]::(C)	满平衡时高度=log₂(1025)≈10（1024为2¹⁰）	283
[16.下列关于红黑树和AVL树的说法中，不正确的是(   )。<br>I.一棵含有n个结点的红黑树的高度至多为2log₂(n+1)<br>II.若一个结点是红色的，则它的父结点和孩子结点都是黑色的<br>III.红黑树的查询效率一般要优于含有相同结点数的AVL树<br>IV.若AVL树的某结点的左右孩子的平衡因子都是零，则该结点的平衡因子也是零<br>A.I、III<br>B.III<br>C.II、IV<br>D.III、IV]::(D)	1. III错误（AVL高度平衡，查询更优）<br>2. IV错误（孩子平衡因子0≠父平衡因子0）	306
[17.下列关于红黑树和AVL树的描述中，不正确的是(   )。<br>A.两者都属于自平衡的二叉树<br>B.两者查找、插入、删除的时间复杂度都相同<br>C.红黑树插入和删除过程至多有2次旋转操作<br>D.红黑树的任意一个结点的左右子树高度(含叶结点)之比不超过2]::(C)	红黑树删除可能超过2次旋转（情况1可能转入情况2-4）	306
[18.下列关于红黑树的说法中，正确的是(   )。<br>A.红黑树的红结点的数目最多和黑结点的数目相同<br>B.若红黑树的所有结点都是黑色的，则它一定是一棵满二叉树<br>C.红黑树的任何一个分支结点都有两个非空孩子结点<br>D.红黑树的子树也一定是红黑树]::(B)	1. 所有结点黑则必为满二叉树<br>2. A错误（红结点可两倍于黑）<br>3. C错误（可能有单个孩子）<br>4. D错误（子树根可能红）	306
[19.下列四个选项中，满足红黑树定义的是(   )。<br>A.（图示详见原书）<br>B.（图示详见原书）<br>C.（图示详见原书）<br>D.（图示详见原书）]::(A)	仅A同时满足：①根黑叶黑②无红红相邻③所有路径黑结点数相同	306
[20.将关键字1,2,3,4,5,6,7依次插入初始为空的红黑树T，则T中红结点的个数是(   )。<br>A.1<br>B.2<br>C.3<br>D.4]::(C)	最终树含3个红结点（图示详见原书）	306
[21.将关键字5,4,3,2,1依次插入初始为空的红黑树T，则T的最终形态是(   )。<br>A.（图示详见原书）<br>B.（图示详见原书）<br>C.（图示详见原书）<br>D.（图示详见原书）]::(D)	形态D满足红黑树所有性质（图示详见原书）	306
[22.在下图所示的红黑树中插入结点2且染成红色后，则下一步应进行的操作是(   )。<br>A.（图示详见原书）<br>B.（图示详见原书）<br>C.（图示详见原书）<br>D.（图示详见原书）]::(B)	需要右旋操作修复"红红"冲突（叔结点黑，LL型）	306
[23.【2009统考真题】下列二叉排序树中，满足平衡二叉树定义的是(   )。<br>A.（图示详见原书）<br>B.（图示详见原书）<br>C.（图示详见原书）<br>D.（图示详见原书）]::(B)	仅B所有结点平衡因子绝对值≤1	306
[24.【2010统考真题】在下图所示的平衡二叉树中插入关键字48后得到一棵新平衡二叉树，在新平衡二叉树中，关键字37所在结点的左、右子结点中保存的关键字分别是(   )。<br>A.13,48<br>B.24,48<br>C.24,53<br>D.24,90]::(C)	1. 插入48触发RL旋转<br>2. 旋转后37的子结点为24和53（图示详见原书）	306
[25.【2011统考真题】对下列关键字序列，不可能构成某二叉排序树中一条查找路径的是(   )。<br>A.95,22,91,24,94,71<br>B.92,20,91,34,88,35<br>C.21,89,77,29,36,38<br>D.12,25,71,68,33,34]::(A)	在91左子树出现94>91，违反左子树<根原则	285
[26.【2012统考真题】若平衡二叉树的高度为6，且所有非叶结点的平衡因子均为1，则该平衡二叉树的结点总数为(   )。<br>A.12<br>B.20<br>C.32<br>D.33]::(B)	递归公式n₆=1+n₅+n₄=1+12+7=20（n₀=0, n₁=1, n₂=2）	285
[27.【2013统考真题】在任意一棵非空二叉排序树T₁中，删除某结点v之后形成二叉排序树T₂，再将v插入T₂形成二叉排序树T₃，下列关于T₁与T₃的叙述中，正确的是(   )。<br>I.若v是T₁的叶结点，则T₁与T₃不同<br>II.若v是T₁的叶结点，则T₁与T₃相同<br>III.若v不是T₁的叶结点，则T₁与T₃不同<br>IV.若v不是T₁的叶结点，则T₁与T₃相同<br>A.仅I、III<br>B.仅I、IV<br>C.仅II、III<br>D.仅II、IV]::(C)	1. 叶结点删除后重新插入位置相同（相同）<br>2. 非叶结点删除后重新插入位置不同（不同）	285
[28.【2013统考真题】若将关键字1,2,3,4,5,6,7依次插入初始为空的平衡二叉树T，则T中平衡因子为0的分支结点的个数是(   )。<br>A.0<br>B.1<br>C.2<br>D.3]::(D)	最终树有3个平衡因子0的结点（图示详见原书）	285
[29.【2015统考真题】现有一棵无重复关键字的平衡二叉树(AVL)，对其进行中序遍历可得到一个降序序列。下列关于该平衡二叉树的叙述中，正确的是(   )。<br>A.根结点的度一定为2<br>B.树中最小元素一定是叶结点<br>C.最后插入的元素一定是叶结点<br>D.树中最大元素一定是无左子树]::(D)	降序序列意味着大值在左小值在右，最大元素无左子树	285
[30.【2018统考真题】已知二叉排序树如下图所示，元素之间应满足的大小关系是(   )。<br>A.x₁<x₂<x₃<br>B.x₁<x₄<x₅<br>C.x₃<x₅<x₄<br>D.x₄<x₃<x₅]::(C)	中序遍历序列：x₁,x₃,x₅,x₄,x₂ → x₃<x₅<x₄	309
[31.【2019统考真题】在任意一棵非空平衡二叉树T₁中，删除某结点v之后形成平衡二叉树T₂，再将v插入T₂形成平衡二叉树T₃。下列关于T₁与T₃的叙述中，正确的是(   )。<br>I.若v是T₁的叶结点，则T₁与T₃可能不相同<br>II.若v不是T₁的叶结点，则T₁与T₃一定不相同<br>III.若v不是T₁的叶结点，则T₁与T₃一定相同<br>A.仅I<br>B.仅II<br>C.仅I、II<br>D.仅I、III]::(A)	叶结点删除可能触发旋转导致重新插入位置不同	309
[32.【2020统考真题】下列给定的关键字输入序列中，不能生成右边二叉排序树的是(   )。<br>A.4,5,2,1,3<br>B.4,5,1,2,3<br>C.4,2,5,3,1<br>D.4,2,1,3,5]::(B)	序列B生成的二叉排序树与目标树结构不符（图示详见原书）	309
[33.【2021统考真题】给定平衡二叉树如下图所示，插入关键字23后，根中的关键字是(   )。<br>A.16<br>B.20<br>C.23<br>D.25]::(D)	插入23触发RL旋转，旋转后根结点变为25（图示详见原书）	309
